"Alert";"Action";"SourceName";"AutoName";"SourceFreq";"AutoFreq";"DictName"
"GOOD";"CHANGE";"MERSEDES-";"MERCEDES";1;8;"MERCEDES-BENZ"
"GOOD";"CHANGE";"MERSEDES-BENZ";"MERCEDES-BENZ";2;1018;"MERCEDES-BENZ"
"GOOD";"KEEP";"METROCAB";"METROCAB";12;12;"METROCAB"
"ALERT";"KEEP";"MG";"MG";1;1;"MG"
"GOOD";"KEEP";"MINI";"MINI";11;11;"MINI"
"GOOD";"KEEP";"MITSUBISHI";"MITSUBISHI";568;568;"MITSUBISHI"
"GOOD";"KEEP";"NISSAN";"NISSAN";1321;1321;"NISSAN"
"GOOD";"CHANGE";"NYUNDAI";"HYUNDAI";1;4721;"HYUNDAI"
"GOOD";"KEEP";"OLDSMOBILE";"OLDSMOBILE";2;2;"OLDSMOBILE"
"GOOD";"KEEP";"OPEL";"OPEL";585;585;"OPEL"
"GOOD";"KEEP";"PEUGEOT";"PEUGEOT";615;615;"PEUGEOT"
"GOOD";"KEEP";"PLYMOUTH";"PLYMOUTH";4;4;"PLYMOUTH"
"GOOD";"KEEP";"PONTIAC";"PONTIAC";2;2;"PONTIAC"
"GOOD";"KEEP";"RENAULT";"RENAULT";5093;5093;"RENAULT"
"GOOD";"KEEP";"ROVER";"ROVER";8;8;"ROVER"
"GOOD";"KEEP";"SAAB";"SAAB";12;12;"SAAB"
"ALERT";"KEEP";"SAMAND";"SAMAND";1;1;"IRAN KHODRO"
"GOOD";"KEEP";"SCION";"SCION";2;2;"SCION"
"GOOD";"KEEP";"SEAT";"SEAT";7;7;"SEAT"
"GOOD";"CHANGE";"SHEVROLET";"CHEVROLET";1;4656;"CHEVROLET"
"GOOD";"KEEP";"SKODA";"SKODA";2073;2073;"SKODA"
"GOOD";"KEEP";"SSANGYONG";"SSANGYONG";47;47;"SSANGYONG"
"GOOD";"KEEP";"SUBARU";"SUBARU";31;31;"SUBARU"
"GOOD";"KEEP";"SUV";"SUV";10;10;"TAGAZ"
"ALERT";"KEEP";"SUVT11";"SUVT11";1;1;"TAGAZ"
"GOOD";"KEEP";"SUZUKI";"SUZUKI";54;54;"SUZUKI"
"GOOD";"KEEP";"TAGAZ";"TAGAZ";10;10;"TAGAZ"
"GOOD";"KEEP";"TOYOTA";"TOYOTA";1075;1075;"TOYOTA"
"GOOD";"KEEP";"UAZ";"UAZ";5;5;"UAZ"
"GOOD";"KEEP";"VAZ";"VAZ";700;700;"VAZ"
"GOOD";"CHANGE";"VAZ-";"VAZ";5;700;"VAZ"
"GOOD";"CHANGE";"VOLKSVAGEN";"VOLKSWAGEN";2;1296;"VOLKSWAGEN"
"GOOD";"KEEP";"VOLKSWAGEN";"VOLKSWAGEN";1296;1296;"VOLKSWAGEN"
"GOOD";"KEEP";"VOLVO";"VOLVO";137;137;"VOLVO"
"GOOD";"KEEP";"VORTEX";"VORTEX";29;29;"TAGAZ"
"GOOD";"KEEP";"ZAZ";"ZAZ";116;116;"ZAZ"
"GOOD";"KEEP";"ZАZ";"ZАZ";4;4;"ZAZ"
"GOOD";"KEEP";"А21";"А21";7;7;"TAGAZ"
"ALERT";"KEEP";"НЕТ";"НЕТ";1;1;"UNKNOWN"
